Player,Pick,Minutes Played,DraftYear
JJ Redick,11,25.5,2006
Hilton Armstrong,12,11.6,2006
Thabo Sefolosha,13,21.9,2006
Ronnie Brewer,14,23.0,2006
Cedric Simmons,15,9.4,2006
Rodney Carney,16,15.4,2006
Shawne Williams,17,17.1,2006
Oleksiy Pecherov,18,9.4,2006
Quincy Douby,19,10.7,2006
Renaldo Balkman,20,13.9,2006
Rajon Rondo,21,29.9,2006
Marcus Williams,22,15.2,2006
Josh Boone,23,17.5,2006
Kyle Lowry,24,31.3,2006
Shannon Brown,25,18.0,2006
Jordan Farmar,26,19.5,2006
Sergio RodrÃ­guez,27,15.0,2006
Maurice Ager,28,6.2,2006
Mardy Collins,29,14.7,2006
Joel Freeland,30,12.1,2006
Round 2,,Per Game,2006
Player,Pk,MP,2006
James White,31,8.7,2006
Steve Novak,32,12.1,2006
Solomon Jones,33,11.0,2006
Paul Davis,34,8.6,2006
P.J. Tucker,35,28.2,2006
Craig Smith,36,16.9,2006
Bobby Jones,37,9.5,2006
Kosta PeroviÄ,38,5.4,2006
David Noel,39,11.6,2006
Denham Brown,40,,2006
James Augustine,41,5.8,2006
Daniel Gibson,42,23.5,2006
Marcus Vinicius,43,6.6,2006
Lior Eliyahu,44,,2006
Alexander Johnson,45,12.8,2006
Dee Brown,46,10.5,2006
Paul Millsap,47,28.1,2006
Vladimir Veremeenko,48,,2006
Leon Powe,49,13.9,2006
Ryan Hollins,50,11.8,2006
Cheikh Samb,51,5.2,2006
Guillermo DÃ­az,52,3.0,2006
Yotam Halperin,53,,2006
Hassan Adams,54,7.5,2006
Ejike Ugboaja,55,,2006
Edin BavÄiÄ,56,,2006
Loukas Mavrokefalidis,57,,2006
J.R. Pinnock,58,,2006
Damir Markota,59,5.7,2006
Will Blalock,60,11.9,2006
Greg Oden,1,19.3,2007
Kevin Durant,2,36.7,2007
Al Horford,3,31.6,2007
Mike Conley,4,31.2,2007
Jeff Green,5,27.3,2007
Yi Jianlian,6,22.2,2007
Corey Brewer,7,22.9,2007
Brandan Wright,8,16.2,2007
Joakim Noah,9,27.7,2007
Spencer Hawes,10,22.7,2007
Acie Law,11,12.7,2007
Thaddeus Young,12,28.2,2007
Julian Wright,13,13.2,2007
Al Thornton,14,28.0,2007
Rodney Stuckey,15,27.5,2007
Nick Young,16,22.8,2007
Sean Williams,17,14.4,2007
Marco Belinelli,18,22.7,2007
Javaris Crittenton,19,16.4,2007
Jason Smith,20,16.3,2007
Daequan Cook,21,18.3,2007
Jared Dudley,22,22.3,2007
Wilson Chandler,23,30.0,2007
Rudy FernÃ¡ndez,24,24.0,2007
Morris Almond,25,9.5,2007
Aaron Brooks,26,20.8,2007
Arron Afflalo,27,27.3,2007
Tiago Splitter,28,19.2,2007
Alando Tucker,29,8.4,2007
Petteri Koponen,30,,2007
Round 2,,Per Game,2007
Player,Pk,MP,2007
Carl Landry,31,22.5,2007
Gabe Pruitt,32,7.4,2007
Marcus Williams,33,3.0,2007
Nick Fazekas,34,10.3,2007
Glen Davis,35,21.1,2007
Jermareo Davidson,36,8.3,2007
Josh McRoberts,37,19.1,2007
Kyrylo Fesenko,38,8.2,2007
Stanko BaraÄ,39,,2007
Sun Yue,40,2.8,2007
Chris Richard,41,11.1,2007
Derrick Byars,42,18.5,2007
Adam Haluska,43,,2007
Reyshawn Terry,44,,2007
Jared Jordan,45,,2007
StÃ©phane Lasme,46,18.9,2007
Dominic McGuire,47,15.6,2007
Marc Gasol,48,32.2,2007
Aaron Gray,49,12.1,2007
Renaldas Seibutis,50,,2007
JamesOn Curry,51,0.0,2007
Taurean Green,52,4.4,2007
Demetris Nichols,53,3.2,2007
Brad Newley,54,,2007
Herbert Hill,55,,2007
Ramon Sessions,56,23.3,2007
Sammy Mejia,57,,2007
Georgios Printezis,58,,2007
D.J. Strawberry,59,8.2,2007
Milovan RakoviÄ,60,,2007
Derrick Rose,1,30.5,2008
Michael Beasley,2,22.8,2008
O.J. Mayo,3,30.9,2008
Russell Westbrook,4,33.3,2008
Kevin Love,5,28.9,2008
Danilo Gallinari,6,28.8,2008
Eric Gordon,7,31.2,2008
Joe Alexander,8,11.1,2008
D.J. Augustin,9,23.4,2008
Brook Lopez,10,30.3,2008
Jerryd Bayless,11,21.3,2008
Jason Thompson,12,25.2,2008
Brandon Rush,13,22.0,2008
Anthony Randolph,14,15.2,2008
Robin Lopez,15,21.1,2008
Marreese Speights,16,15.1,2008
Roy Hibbert,17,24.8,2008
JaVale McGee,18,16.1,2008
J.J. Hickson,19,22.3,2008
Alexis AjinÃ§a,20,13.3,2008
Ryan Anderson,21,25.8,2008
Courtney Lee,22,27.1,2008
Kosta Koufos,23,16.4,2008
Serge Ibaka,24,27.3,2008
Nicolas Batum,25,28.9,2008
George Hill,26,26.8,2008
Darrell Arthur,27,17.8,2008
DontÃ© Greene,28,16.8,2008
D.J. White,29,15.3,2008
J.R. Giddens,30,6.5,2008
Round 2,,Per Game,2008
Player,Pk,MP,2008
Nikola PekoviÄ,31,24.9,2008
Walter Sharpe,32,2.5,2008
Joey Dorsey,33,11.4,2008
Mario Chalmers,34,26.7,2008
DeAndre Jordan,35,25.1,2008
Ãmer AÅÄ±k,36,19.6,2008
Luc Mbah a Moute,37,23.3,2008
Kyle Weaver,38,18.9,2008
Sonny Weems,39,18.2,2008
Chris Douglas-Roberts,40,19.7,2008
Nathan Jawai,41,9.6,2008
Sean Singletary,42,8.2,2008
Patrick Ewing,43,2.7,2008
Ante TomiÄ,44,,2008
Goran DragiÄ,45,27.1,2008
Trent Plaisted,46,,2008
Henry Walker,47,16.7,2008
Malik Hairston,48,7.6,2008
Richard Hendrix,49,,2008
DeVon Hardin,50,,2008
Shan Foster,51,,2008
Darnell Jackson,52,7.5,2008
Tadija DragiÄeviÄ,53,,2008
Maarty Leunen,54,,2008
Mike Taylor,55,15.1,2008
Sasha Kaun,56,3.8,2008
James Gist,57,,2008
Joe Crawford,58,11.5,2008
Deron Washington,59,,2008
Semih Erden,60,13.4,2008
Blake Griffin,1,31.9,2009
Hasheem Thabeet,2,10.5,2009
James Harden,3,34.8,2009
Tyreke Evans,4,30.7,2009
Ricky Rubio,5,29.6,2009
Jonny Flynn,6,22.9,2009
Stephen Curry,7,34.1,2009
Jordan Hill,8,18.8,2009
DeMar DeRozan,9,34.7,2009
Brandon Jennings,10,30.3,2009
Terrence Williams,11,19.1,2009
Gerald Henderson,12,25.9,2009
Tyler Hansbrough,13,16.9,2009
Earl Clark,14,13.9,2009
Austin Daye,15,14.1,2009
James Johnson,16,19.8,2009
Jrue Holiday,17,32.9,2009
Ty Lawson,18,29.2,2009
Jeff Teague,19,26.8,2009
Eric Maynor,20,14.6,2009
Darren Collison,21,29.3,2009
Victor Claver,22,13.4,2009
Omri Casspi,23,20.3,2009
Byron Mullens,24,18.2,2009
Rodrigue Beaubois,25,15.9,2009
Taj Gibson,26,23.0,2009
DeMarre Carroll,27,23.7,2009
Wayne Ellington,28,20.9,2009
Toney Douglas,29,19.1,2009
Christian Eyenga,30,20.6,2009
Round 2,,Per Game,2009
Player,Pk,MP,2009
Jeff Ayres,31,9.8,2009
Jermaine Taylor,32,12.1,2009
Dante Cunningham,33,20.8,2009
Sergio Llull,34,,2009
DaJuan Summers,35,9.9,2009
Sam Young,36,15.9,2009
DeJuan Blair,37,16.6,2009
Jon Brockman,38,10.5,2009
Jonas Jerebko,39,17.8,2009
Derrick Brown,40,14.9,2009
Jodie Meeks,41,22.5,2009
Patrick Beverley,42,26.6,2009
Marcus Thornton,43,23.4,2009
Chase Budinger,44,19.7,2009
Nick Calathes,45,15.6,2009
Danny Green,46,25.1,2009
Henk Norel,47,,2009
Taylor Griffin,48,4.0,2009
Sergiy Gladyr,49,,2009
Goran Suton,50,,2009
Jack McClinton,51,,2009
A.J. Price,52,15.1,2009
Nando De Colo,53,11.9,2009
Robert Vaden,54,,2009
Patty Mills,55,19.9,2009
Ahmad Nivins,56,,2009
Emir PreldÅ¾iÄ,57,,2009
Lester Hudson,58,10.4,2009
Chinemelu Elonu,59,,2009
Robert Dozier,60,,2009
John Wall,1,34.9,2010
Evan Turner,2,26.9,2010
Derrick Favors,3,24.3,2010
Wesley Johnson,4,22.1,2010
DeMarcus Cousins,5,29.8,2010
Ekpe Udoh,6,14.8,2010
Greg Monroe,7,27.4,2010
Al-Farouq Aminu,8,24.9,2010
Gordon Hayward,9,30.7,2010
Paul George,10,33.6,2010
Cole Aldrich,11,10.0,2010
Xavier Henry,12,15.7,2010
Ed Davis,13,19.1,2010
Patrick Patterson,14,20.8,2010
Larry Sanders,15,19.5,2010
Luke Babbitt,16,14.0,2010
Kevin SÃ©raphin,17,15.2,2010
Eric Bledsoe,18,27.8,2010
Avery Bradley,19,27.5,2010
James Anderson,20,17.5,2010
Craig Brackins,21,7.1,2010
Elliot Williams,22,13.5,2010
Trevor Booker,23,20.4,2010
Damion James,24,16.0,2010
Dominique Jones,25,9.3,2010
Quincy Pondexter,26,15.6,2010
Jordan Crawford,27,24.4,2010
Greivis VÃ¡squez,28,23.7,2010
Daniel Orton,29,10.6,2010
Lazar Hayward,30,8.2,2010
Round 2,,Per Game,2010
Player,Pk,MP,2010
Tibor PleiÃ,31,6.8,2010
Dexter Pittman,32,6.9,2010
Hassan Whiteside,33,24.7,2010
Armon Johnson,34,8.5,2010
Nemanja Bjelica,35,20.4,2010
Terrico White,36,,2010
Darington Hobson,37,7.8,2010
Andy Rautins,38,4.8,2010
Landry Fields,39,23.6,2010
Lance Stephenson,40,22.9,2010
Jarvis Varnado,41,10.7,2010
Da'Sean Butler,42,,2010
Devin Ebanks,43,11.3,2010
Jerome Jordan,44,7.6,2010
PaulÃ£o Prestes,45,,2010
Gani Lawal,46,2.0,2010
Tiny Gallon,47,,2010
Latavious Williams,48,,2010
Ryan Richards,49,,2010
Solomon Alabi,50,7.0,2010
Magnum Rolle,51,,2010
Luke Harangody,52,12.4,2010
Pape Sy,53,7.0,2010
Willie Warren,54,7.1,2010
Jeremy Evans,55,10.5,2010
Hamady N'Diaye,56,4.8,2010
Ryan Reid,57,3.4,2010
Derrick Caracter,58,5.2,2010
Stanley Robinson,59,,2010
Dwayne Collins,60,,2010
Kyrie Irving,1,34.5,2011
Derrick Williams,2,20.7,2011
Enes Freedom,3,21.5,2011
Tristan Thompson,4,24.9,2011
Jonas ValanÄiÅ«nas,5,25.1,2011
Jan VeselÃ½,6,15.2,2011
Bismack Biyombo,7,19.5,2011
Brandon Knight,8,29.3,2011
Kemba Walker,9,33.1,2011
Jimmer Fredette,10,13.3,2011
Klay Thompson,11,32.1,2011
Alec Burks,12,22.2,2011
Markieff Morris,13,23.3,2011
Marcus Morris,14,26.6,2011
Kawhi Leonard,15,31.8,2011
Nikola VuÄeviÄ,16,31.4,2011
Iman Shumpert,17,24.9,2011
Chris Singleton,18,17.6,2011
